item_name,image_path,image,checked,page,column,row,notes_1_name,notes_1,notes_2_name,notes_2,notes_3_name,notes_3,notes_4_name,notes_4,notes_
Glazed Yams,images/Glazed_Yams.png,pyimage15,False,Cooking,4,1,Ingredients:,"Yam, Sugar",Recipe Source:,"Cooking Channel, (21 Fall, Year 1)",,,,,
Carp Surprise,images/Carp_Surprise.png,pyimage16,False,Cooking,5,1,Ingredients:,Carp x 4,Recipe Source:,"Cooking Channel, (7 Summer, Year 2)",,,,,
Hashbrowns,images/Hashbrowns.png,pyimage17,False,Cooking,6,1,Ingredients:,"Potato, Oil",Recipe Source:,"Stardrop Saloon, Cooking Channel, (14 Spring, Year 2)",,,,,
Pancakes,images/Pancakes.png,pyimage18,False,Cooking,7,1,Ingredients:,"Wheat Flour, Egg",Recipe Source:,"Stardrop Saloon, Cooking Channel, (14 Summer, Year 1)",,,,,
Salmon Dinner,images/Salmon_Dinner.png,pyimage19,False,Cooking,8,1,Ingredients:,"Salmon, Amaranth, Kale",Recipe Source:,Gus - 3+ hearts,,,,,
Fish Taco,images/Fish_Taco.png,pyimage20,False,Cooking,9,1,Ingredients:,"Tuna, Tortilla, Red Cabbage, Mayo",Recipe Source:,Linus - 7+ hearts,,,,,
Crispy Bass,images/Crispy_Bass.png,pyimage21,False,Cooking,0,2,Ingredients:,"Largemouth Bass, Wheat Flour, Oil",Recipe Source:,Kent - 3+ hearts,,,,,
Pepper Poppers,images/Pepper_Poppers.png,pyimage22,False,Cooking,1,2,Ingredients:,"Hot Pepper, Cheese",Recipe Source:,Shane - 3+ hearts,,,,,
Bread,images/Bread.png,pyimage23,False,Cooking,2,2,Ingredients:,Wheat Flour,Recipe Source:,"Stardrop Saloon, Cooking Channel, (28 Summer, Year 1)",,,,,
Tom Kha Soup,images/Tom_Kha_Soup.png,pyimage24,False,Cooking,3,2,Ingredients:,"Coconut, Shrimp, Common Mushroom",Recipe Source:,Sandy - 7+ hearts,,,,,
Trout Soup,images/Trout_Soup.png,pyimage25,False,Cooking,4,2,Ingredients:,"Rainbow Trout, Green Algae",Recipe Source:,"Cooking Channel, (14 Fall, Year 1)",,,,,
Chocolate Cake,images/Chocolate_Cake.png,pyimage26,False,Cooking,5,2,Ingredients:,"Wheat Flour, Sugar, Egg",Recipe Source:,"Cooking Channel, (14 Winter, Year 1)",,,,,
Pink Cake,images/Pink_Cake.png,pyimage27,False,Cooking,6,2,Ingredients:,"Melon, Wheat Flour, Sugar, Egg",Recipe Source:,"Cooking Channel, (21 Summer, Year 2)",,,,,
Rhubarb Pie,images/Rhubarb_Pie.png,pyimage28,False,Cooking,7,2,Ingredients:,"Rhubarb, Wheat Flour, Sugar",Recipe Source:,Marnie - 7+ hearts,,,,,
Cookie,images/Cookie.png,pyimage29,False,Cooking,8,2,Ingredients:,"Wheat Flour, Sugar, Egg",Recipe Source:,Evelyn - 4 heart event,,,,,
Spaghetti,images/Spaghetti.png,pyimage30,False,Cooking,9,2,Ingredients:,Wheat Flour,Recipe Source:,Lewis - 3+ hearts,,,,,
Fried Eel,images/Fried_Eel.png,pyimage31,False,Cooking,0,3,Ingredients:,"Eel, Oil",Recipe Source:,George - 3+ hearts,,,,,
Spicy Eel,images/Spicy_Eel.png,pyimage32,False,Cooking,1,3,Ingredients:,"Eel, Hot Pepper",Recipe Source:,George - 7+ hearts,,,,,
Sashimi,images/Sashimi.png,pyimage33,False,Cooking,2,3,Ingredients:,Any Fish,Recipe Source:,Linus - 3+ hearts,,,,,
Maki Roll,images/Maki_Roll.png,pyimage34,False,Cooking,3,3,Ingredients:,"Any Fish, Seaweed, Rice",Recipe Source:,"Stardrop Saloon, Cooking Channel, (21 Summer, Year 1)",,,,,
Tortilla,images/Tortilla.png,pyimage35,False,Cooking,4,3,Ingredients:,Corn,Recipe Source:,"Stardrop Saloon, Cooking Channel, (7 Fall, Year 1)",,,,,
Red Plate,images/Red_Plate.png,pyimage36,False,Cooking,5,3,Ingredients:,"Red Cabbage, Radish",Recipe Source:,Emily - 7+ hearts,,,,,
Eggplant Parmesan,images/Eggplant_Parmesan.png,pyimage37,False,Cooking,6,3,Ingredients:,"Eggplant, Tomato",Recipe Source:,Lewis - 7+ hearts,,,,,
Rice Pudding,images/Rice_Pudding.png,pyimage38,False,Cooking,7,3,Ingredients:,"Milk, Sugar, Rice",Recipe Source:,Evelyn - 7+ hearts,,,,,
Ice Cream,images/Ice_Cream.png,pyimage39,False,Cooking,8,3,Ingredients:,"Milk, Sugar",Recipe Source:,Jodi - 7+ hearts,,,,,
Blueberry Tart,images/Blueberry_Tart.png,pyimage40,False,Cooking,9,3,Ingredients:,"Blueberry, Wheat Flour, Sugar, Egg",Recipe Source:,Pierre - 3+ hearts,,,,,
Autumn's Bounty,images/Autumn's_Bounty.png,pyimage41,False,Cooking,0,4,Ingredients:,"Yam, Pumpkin",Recipe Source:,Demetrius - 7+ hearts,,,,,
Pumpkin Soup,images/Pumpkin_Soup.png,pyimage42,False,Cooking,1,4,Ingredients:,"Pumpkin, Milk",Recipe Source:,Robin - 7+ hearts,,,,,
Super Meal,images/Super_Meal.png,pyimage43,False,Cooking,2,4,Ingredients:,"Bok Choy, Cranberries, Artichoke",Recipe Source:,Kent - 7+ hearts,,,,,
Cranberry Sauce,images/Cranberry_Sauce.png,pyimage44,False,Cooking,3,4,Ingredients:,"Cranberries, Sugar",Recipe Source:,Gus - 7+ hearts,,,,,
Stuffing,images/Stuffing.png,pyimage45,False,Cooking,4,4,Ingredients:,"Bread, Cranberries, Hazelnut",Recipe Source:,Pam - 7+ hearts,,,,,
Farmer's Lunch,images/Farmer's_Lunch.png,pyimage46,False,Cooking,5,4,Ingredients:,"Omelet, Parsnip",Recipe Source:,Farming Level 3,,,,,
Survival Burger,images/Survival_Burger.png,pyimage47,False,Cooking,6,4,Ingredients:,"Bread, Cave Carrot, Eggplant",Recipe Source:,Foraging Level 2,,,,,
Dish o' The Sea,images/Dish_o'_The_Sea.png,pyimage48,False,Cooking,7,4,Ingredients:,"Sardine x 2, Hashbrowns",Recipe Source:,Fishing Level 3,,,,,
Miner's Treat,images/Miner's_Treat.png,pyimage49,False,Cooking,8,4,Ingredients:,"Cave Carrot x 2, Sugar, Milk",Recipe Source:,Mining Level 3,,,,,
Roots Platter,images/Roots_Platter.png,pyimage50,False,Cooking,9,4,Ingredients:,"Cave Carrot, Winter Root",Recipe Source:,Combat Level 3,,,,,
Triple Shot Espresso,images/Triple_Shot_Espresso.png,pyimage51,False,Cooking,0,5,Ingredients:,Coffee x 3,Recipe Source:,Stardrop Saloon,,,,,
Seafoam Pudding,images/Seafoam_Pudding.png,pyimage52,False,Cooking,1,5,Ingredients:,"Flounder, Midnight Carp, Squid Ink",Recipe Source:,Fishing Level 9,,,,,
Algae Soup,images/Algae_Soup.png,pyimage53,False,Cooking,2,5,Ingredients:,Green Algae x 4,Recipe Source:,Clint - 3+ hearts,,,,,
Pale Broth,images/Pale_Broth.png,pyimage54,False,Cooking,3,5,Ingredients:,White Algae x 2,Recipe Source:,Marnie - 3+ hearts,,,,,
Plum Pudding,images/Plum_Pudding.png,pyimage55,False,Cooking,4,5,Ingredients:,"Wild Plum x 2, Wheat Flour, Sugar",Recipe Source:,"Cooking Channel, (7 Winter, Year 1)",,,,,
Artichoke Dip,images/Artichoke_Dip.png,pyimage56,False,Cooking,5,5,Ingredients:,"Artichoke, Milk",Recipe Source:,"Cooking Channel, (28 Fall, Year 1)",,,,,
Stir Fry,images/Stir_Fry.png,pyimage57,False,Cooking,6,5,Ingredients:,"Cave Carrot, Common Mushroom, Kale, Oil",Recipe Source:,"Cooking Channel, (7 Spring, Year 1)",,,,,
Roasted Hazelnuts,images/Roasted_Hazelnuts.png,pyimage58,False,Cooking,7,5,Ingredients:,Hazelnut x 3,Recipe Source:,"Cooking Channel, (28 Summer, Year 2)",,,,,
Pumpkin Pie,images/Pumpkin_Pie.png,pyimage59,False,Cooking,8,5,Ingredients:,"Pumpkin, Wheat Flour, Milk, Sugar",Recipe Source:,"Cooking Channel, (21 Winter, Year 1)",,,,,
Radish Salad,images/Radish_Salad.png,pyimage60,False,Cooking,9,5,Ingredients:,"Oil, Vinegar, Radish",Recipe Source:,"Cooking Channel, (21 Spring, Year 1)",,,,,
Fruit Salad,images/Fruit_Salad.png,pyimage61,False,Cooking,0,6,Ingredients:,"Blueberry, Melon, Apricot",Recipe Source:,"Cooking Channel, (7 Fall, Year 2)",,,,,
Blackberry Cobbler,images/Blackberry_Cobbler.png,pyimage62,False,Cooking,1,6,Ingredients:,"Blackberry x 2, Sugar, Wheat Flour",Recipe Source:,"Cooking Channel, (14 Fall, Year 2)",,,,,
Cranberry Candy,images/Cranberry_Candy.png,pyimage63,False,Cooking,2,6,Ingredients:,"Cranberries, Apple, Sugar",Recipe Source:,"Cooking Channel, (28 Winter, Year 1)",,,,,
Bruschetta,images/Bruschetta.png,pyimage64,False,Cooking,3,6,Ingredients:,"Bread, Oil, Tomato",Recipe Source:,"Cooking Channel, (21 Winter, Year 2)",,,,,
Coleslaw,images/Coleslaw.png,pyimage65,False,Cooking,4,6,Ingredients:,"Red Cabbage, Vinegar, Mayo",Recipe Source:,"Cooking Channel, (14 Spring, Year 1)",,,,,
Fiddlehead Risotto,images/Fiddlehead_Risotto.png,pyimage66,False,Cooking,5,6,Ingredients:,"Oil, Fiddlehead Fern, Garlic",Recipe Source:,"Cooking Channel, (28 Fall, Year 2)",,,,,
Poppyseed Muffin,images/Poppyseed_Muffin.png,pyimage67,False,Cooking,6,6,Ingredients:,"Poppy, Wheat Flour, Sugar",Recipe Source:,"Cooking Channel, (7 Winter, Year 2)",,,,,
Chowder,images/Chowder.png,pyimage68,False,Cooking,7,6,Ingredients:,"Clam, Milk",Recipe Source:,Willy - 3+ hearts,,,,,
Fish Stew,images/Fish_Stew.png,pyimage69,False,Cooking,8,6,Ingredients:,"Crayfish, Mussel, Periwinkle, Tomato",Recipe Source:,Willy - 7+ hearts,,,,,
Escargot,images/Escargot.png,pyimage70,False,Cooking,9,6,Ingredients:,"Snail, Garlic",Recipe Source:,Willy - 5+ hearts,,,,,
Lobster Bisque,images/Lobster_Bisque.png,pyimage71,False,Cooking,0,7,Ingredients:,"Lobster, Milk",Recipe Source:,"Cooking Channel, Willy - 9+ hearts",,,,,
Maple Bar,images/Maple_Bar.png,pyimage72,False,Cooking,1,7,Ingredients:,"Maple Syrup, Sugar, Wheat Flour",Recipe Source:,"Cooking Channel, (14 Summer, Year 2)",,,,,
Crab Cakes,images/Crab_Cakes.png,pyimage73,False,Cooking,2,7,Ingredients:,"Crab, Wheat Flour, Egg, Oil",Recipe Source:,"Cooking Channel, (21 Fall, Year 2)",,,,,
Shrimp Cocktail,images/Shrimp_Cocktail.png,pyimage74,False,Cooking,3,7,Ingredients:,"Tomato, Shrimp, Wild Horseradish",Recipe Source:,"Cooking Channel, (28 Winter, Year 2)",,,,,
Ginger Ale,images/Ginger_Ale.png,pyimage75,False,Cooking,4,7,Ingredients:,"Ginger x 3, Sugar",Recipe Source:,Dwarf Shop in Volcano on Ginger Island,,,,,
Banana Pudding,images/Banana_Pudding.png,pyimage76,False,Cooking,5,7,Ingredients:,"Baa, Milk, Sugar",Recipe Source:,Island Trader for 30 Bone Fragments,,,,,
Mango Sticky Rice,images/Mango_Sticky_Rice.png,pyimage77,False,Cooking,6,7,Ingredients:,"Mango, Coconut, Rice",Recipe Source:,Leo - 7+ hearts,,,,,
Poi,images/Poi.png,pyimage78,False,Cooking,7,7,Ingredients:,Taro Root x 4,Recipe Source:,Leo - 3+ hearts,,,,,
Tropical Curry,images/Tropical_Curry.png,pyimage79,False,Cooking,8,7,Ingredients:,"Coconut, Pineapple, Hot Pepper",Recipe Source:,Gus at Ginger Island Resort,,,,,
Squid Ink Ravioli,images/Squid_Ink_Ravioli.png,pyimage80,False,Cooking,9,7,Ingredients:,"Squid Ink, Wheat Flour, Tomato",Recipe Source:,Combat Level 9,,,,,
Pufferfish,images/Pufferfish.png,pyimage81,False,Fishing,0,0,Time:,12am - 4pm,Location:,Ocean,Season:,Summer,Weather:,Sun,
Anchovy,images/Anchovy.png,pyimage82,False,Fishing,1,0,Time:,Anytime,Location:,Ocean,Season:,"Spring, Fall",Weather:,Any,
Tuna,images/Tuna.png,pyimage83,False,Fishing,2,0,Time:,6am - 7pm,Location:,Ocean,Season:,"Summer, Winter",Weather:,Any,
Sardine,images/Sardine.png,pyimage84,False,Fishing,3,0,Time:,6am - 7pm,Location:,Ocean,Season:,"Spring, Fall, Winter",Weather:,Any,
Bream,images/Bream.png,pyimage85,False,Fishing,4,0,Time:,6pm - 2am,Location:,River (Town+Forest),Season:,Any,Weather:,Any,
Largemouth Bass,images/Largemouth_Bass.png,pyimage86,False,Fishing,5,0,Time:,6am - 7pm,Location:,Mountain Lake,Season:,Any,Weather:,Any,
Smallmouth Bass,images/Smallmouth_Bass.png,pyimage87,False,Fishing,6,0,Time:,Anytime,Location:,"River (Town), Forest Pond",Season:,"Spring, Fall",Weather:,Any,
Rainbow Trout,images/Rainbow_Trout.png,pyimage88,False,Fishing,7,0,Time:,6am - 7pm,Location:,"River (Town+Forest), Mountain Lake",Season:,Summer,Weather:,Sun,
Salmon,images/Salmon.png,pyimage89,False,Fishing,8,0,Time:,6am - 7pm,Location:,River (Town+Forest),Season:,Fall,Weather:,Any,
Walleye,images/Walleye.png,pyimage90,False,Fishing,9,0,Time:,12pm - 2am,Location:,"River (Town+Forest), Forest Pond, Mountain Lake",Season:,"Fall, Winter",Weather:,Rain,
Perch,images/Perch.png,pyimage91,False,Fishing,0,1,Time:,Anytime,Location:,"River (Town+Forest), Forest Pond, Mountain Lake",Season:,Winter,Weather:,Any,
Carp,images/Carp.png,pyimage92,False,Fishing,1,1,Time:,Anytime,Location:,"Mountain Lake, Secret Woods Pond, Sewers",Season:,Any,Weather:,Any,
Catfish,images/Catfish.png,pyimage93,False,Fishing,2,1,Time:,6am - 12am,Location:,"River (Town+Forest), Secret Woods Pond, Witch's Swamp",Season:,"Spring, Fall",Weather:,Rain,
Pike,images/Pike.png,pyimage94,False,Fishing,3,1,Time:,Anytime,Location:,"River (Town+Forest), Forest Pond",Season:,"Summer, Winter",Weather:,Any,
Sunfish,images/Sunfish.png,pyimage95,False,Fishing,4,1,Time:,6am - 7pm,Location:,River (Town+Forest),Season:,"Spring, Summer",Weather:,Sun,
Red Mullet,images/Red_Mullet.png,pyimage96,False,Fishing,5,1,Time:,6am - 7pm,Location:,Ocean,Season:,"Summer, Winter",Weather:,Any,
Herring,images/Herring.png,pyimage97,False,Fishing,6,1,Time:,Anytime,Location:,Ocean,Season:,"Spring, Winter",Weather:,Any,
Eel,images/Eel.png,pyimage98,False,Fishing,7,1,Time:,4pm - 2am,Location:,Ocean,Season:,"Spring, Fall",Weather:,Rain,
Octopus,images/Octopus.png,pyimage99,False,Fishing,8,1,Time:,6am - 1pm,Location:,Ocean,Season:,Summer,Weather:,Any,
Red Snapper,images/Red_Snapper.png,pyimage100,False,Fishing,9,1,Time:,6am - 7pm,Location:,Ocean,Season:,"Summer, Fall",Weather:,Rain,
Squid,images/Squid.png,pyimage101,False,Fishing,0,2,Time:,6pm - 2am,Location:,Ocean,Season:,Winter,Weather:,Any,
Seaweed,images/Seaweed.png,pyimage102,False,Fishing,1,2,Time:,Anytime,Location:,Ocean,Season:,Any,Weather:,Any,
Green Algae,images/Green_Algae.png,pyimage103,False,Fishing,2,2,Time:,Anytime,Location:,Everywhere,Season:,Any,Weather:,Any,
Sea Cucumber,images/Sea_Cucumber.png,pyimage104,False,Fishing,3,2,Time:,6am - 7pm,Location:,Ocean,Season:,"Fall, Winter",Weather:,Any,
Super Cucumber,images/Super_Cucumber.png,pyimage105,False,Fishing,4,2,Time:,6pm - 2am,Location:,"Ocean, Ginger Island oceans",Season:,"Summer, Fall",Weather:,Any,
Ghostfish,images/Ghostfish.png,pyimage106,False,Fishing,5,2,Time:,Anytime,Location:,"Mines (20, 60), Ghost Drops",Season:,Any,Weather:,Any,
White Algae,images/White_Algae.png,pyimage107,False,Fishing,6,2,Time:,Anytime,Location:,"Mines, Sewers, Mutant Bug Lair, Witch's Swamp",Season:,Any,Weather:,Any,
Stonefish,images/Stonefish.png,pyimage108,False,Fishing,7,2,Time:,Anytime,Location:,Mines 20F,Season:,Any,Weather:,Any,
Crimsonfish (Summer)**,images/Crimsonfish.png,pyimage109,False,Fishing,8,2,Time:,Anytime,Location:,East Pier on the Beach,Season:,Summer,Weather:,Any,
Angler (Fall)**,images/Angler.png,pyimage110,False,Fishing,9,2,Time:,Anytime,Location:,North of Jojamart on wooden plank bridge,Season:,Fall,Weather:,Any,
Ice Pip,images/Ice_Pip.png,pyimage111,False,Fishing,0,3,Time:,Anytime,Location:,Mines 60F,Season:,Any,Weather:,Any,
Lava Eel,images/Lava_Eel.png,pyimage112,False,Fishing,1,3,Time:,Anytime,Location:,"Mines 100F, Volcano Caldera",Season:,Any,Weather:,Any,
Legend (Spring)**,images/Legend.png,pyimage113,False,Fishing,2,3,Time:,Anytime,Location:,The Mountain Lake near the log,Season:,Spring,Weather:,Rain,
Sandfish,images/Sandfish.png,pyimage114,False,Fishing,3,3,Time:,6am - 8pm,Location:,The Desert,Season:,Any,Weather:,Any,
Scorpion Carp,images/Scorpion_Carp.png,pyimage115,False,Fishing,4,3,Time:,6am - 8pm,Location:,The Desert,Season:,Any,Weather:,Any,
Flounder,images/Flounder.png,pyimage116,False,Fishing,5,3,Time:,6am - 8pm,Location:,"Ocean, Ginger Island oceans",Season:,"Spring, Summer",Weather:,Any,
Midnight Carp,images/Midnight_Carp.png,pyimage117,False,Fishing,6,3,Time:,10pm - 2am,Location:,"Mountain Lake, Cindersap Forest Pond, Ginger Island Pond & River",Season:,"Fall, Winter",Weather:,Any,
Mutant Carp (Any)**,images/Mutant_Carp.png,pyimage118,False,Fishing,7,3,Time:,Anytime,Location:,Sewers,Season:,Any,Weather:,Any,
Sturgeon,images/Sturgeon.png,pyimage119,False,Fishing,8,3,Time:,6am - 7pm,Location:,Mountain Lake,Season:,Summer,Weather:,Any,
Tiger Trout,images/Tiger_Trout.png,pyimage120,False,Fishing,9,3,Time:,6am - 7pm,Location:,River (Town+Forest),Season:,"Fall, Winter",Weather:,Any,
Bullhead,images/Bullhead.png,pyimage121,False,Fishing,0,4,Time:,Anytime,Location:,Mountain Lake,Season:,Any,Weather:,Any,
Tilapia,images/Tilapia.png,pyimage122,False,Fishing,1,4,Time:,6am - 2pm,Location:,"Ocean, Ginger Island rivers",Season:,"Summer, Fall",Weather:,Any,
Chub,images/Chub.png,pyimage123,False,Fishing,2,4,Time:,Anytime,Location:,"Forest River, Mountain Lake",Season:,Any,Weather:,Any,
Dorado,images/Dorado.png,pyimage124,False,Fishing,3,4,Time:,6am - 7pm,Location:,River (Forest),Season:,Summer,Weather:,Any,
Albacore,images/Albacore.png,pyimage125,False,Fishing,4,4,Time:,"6am - 11am, 6pm - 2am",Location:,Ocean,Season:,"Fall, Winter",Weather:,Any,
Shad,images/Shad.png,pyimage126,False,Fishing,5,4,Time:,9am - 2am,Location:,River (Town+Forest),Season:,"Spring, Summer, Fall",Weather:,Rain,
Lingcod,images/Lingcod.png,pyimage127,False,Fishing,6,4,Time:,Anytime,Location:,"River (Town+Forest), Mountain Lake",Season:,Winter,Weather:,Any,
Halibut,images/Halibut.png,pyimage128,False,Fishing,7,4,Time:,"6am - 11am, 7pm-2am",Location:,Ocean,Season:,"Spring, Summer, Winter",Weather:,Any,
Lobster,images/Lobster.png,pyimage129,False,Fishing,8,4,Time:,Anytime,Location:,Ocean,Season:,Any,Weather:,Any,
Crayfish,images/Crayfish.png,pyimage130,False,Fishing,9,4,Time:,Anytime,Location:,Freshwater,Season:,Any,Weather:,Any,
Crab,images/Crab.png,pyimage131,False,Fishing,0,5,Time:,Anytime,Location:,Ocean,Season:,Any,Weather:,Any,
Cockle,images/Cockle.png,pyimage132,False,Fishing,1,5,Time:,Anytime,Location:,Ocean,Season:,Any,Weather:,Any,
Mussel,images/Mussel.png,pyimage133,False,Fishing,2,5,Time:,Anytime,Location:,Ocean,Season:,Any,Weather:,Any,
Shrimp,images/Shrimp.png,pyimage134,False,Fishing,3,5,Time:,Anytime,Location:,Ocean,Season:,Any,Weather:,Any,
Snail,images/Snail.png,pyimage135,False,Fishing,4,5,Time:,Anytime,Location:,Freshwater,Season:,Any,Weather:,Any,
Periwinkle,images/Periwinkle.png,pyimage136,False,Fishing,5,5,Time:,Anytime,Location:,Freshwater,Season:,Any,Weather:,Any,
Oyster,images/Oyster.png,pyimage137,False,Fishing,6,5,Time:,Anytime,Location:,Ocean,Season:,Any,Weather:,Any,
Woodskip,images/Woodskip.png,pyimage138,False,Fishing,7,5,Time:,Anytime,Location:,"Secret Woods Pond, Forest Farm",Season:,Any,Weather:,Any,
Glacierfish (Winter)**,images/Glacierfish.png,pyimage139,False,Fishing,8,5,Time:,Anytime,Location:,South end of Arrowhead Island in Cindersap Forest,Season:,Winter,Weather:,any,
Void Salmon,images/Void_Salmon.png,pyimage140,False,Fishing,9,5,Time:,Anytime,Location:,Witch's Swamp,Season:,Any,Weather:,Any,
Slimejack,images/Slimejack.png,pyimage141,False,Fishing,0,6,Time:,Anytime,Location:,Mutant Bug Lair,Season:,Any,Weather:,Any,
Midnight Squid,images/Midnight_Squid.png,pyimage142,False,Fishing,1,6,Time:,Anytime,Location:,Night Market,Season:,"Fall, Winter",Weather:,Any,
Spook Fish,images/Spook_Fish.png,pyimage143,False,Fishing,2,6,Time:,Anytime,Location:,Night Market,Season:,Winter,Weather:,Any,
Blobfish,images/Blobfish.png,pyimage144,False,Fishing,3,6,Time:,Anytime,Location:,Night Market,Season:,Winter,Weather:,Any,
Stingray,images/Stingray.png,pyimage145,False,Fishing,4,6,Time:,Anytime,Location:,Pirate Cove (Ginger Island),Season:,Any,Weather:,Any,
Lionfish,images/Lionfish.png,pyimage146,False,Fishing,5,6,Time:,Anytime,Location:,Ginger Island Ocean,Season:,Any,Weather:,Any,
Blue Discus,images/Blue_Discus.png,pyimage147,False,Fishing,6,6,Time:,Anytime,Location:,Ginger Island Pond and Rivers,Season:,Any,Weather:,Any,
Wild Horseradish,images/Wild_Horseradish.png,pyimage148,False,Ship 1,0,0,,,,,,,,,
Daffodil,images/Daffodil.png,pyimage149,False,Ship 1,1,0,,,,,,,,,
Leek,images/Leek.png,pyimage150,False,Ship 1,2,0,,,,,,,,,
Dandelion,images/Dandelion.png,pyimage151,False,Ship 1,3,0,,,,,,,,,
Parsnip,images/Parsnip.png,pyimage152,False,Ship 1,4,0,,,,,,,,,
Cave Carrot,images/Cave_Carrot.png,pyimage153,False,Ship 1,5,0,,,,,,,,,
Coconut,images/Coconut.png,pyimage154,False,Ship 1,6,0,,,,,,,,,
Cactus Fruit,images/Cactus_Fruit.png,pyimage155,False,Ship 1,7,0,,,,,,,,,
Banana,images/Banana.png,pyimage156,False,Ship 1,8,0,,,,,,,,,
Sap,images/Sap.png,pyimage157,False,Ship 1,9,0,,,,,,,,,
Large Egg,images/Large_Egg.png,pyimage158,False,Ship 1,0,1,,,,,,,,,
Egg,images/Egg.png,pyimage159,False,Ship 1,1,1,,,,,,,,,
Brown Egg,images/Brown_Egg.png,pyimage160,False,Ship 1,2,1,,,,,,,,,
Large Brown Egg,images/Large_Brown_Egg.png,pyimage161,False,Ship 1,3,1,,,,,,,,,
Milk,images/Milk.png,pyimage162,False,Ship 1,4,1,,,,,,,,,
Large Milk,images/Large_Milk.png,pyimage163,False,Ship 1,5,1,,,,,,,,,
Green Bean,images/Green_Bean.png,pyimage164,False,Ship 1,6,1,,,,,,,,,
Cauliflower,images/Cauliflower.png,pyimage165,False,Ship 1,7,1,,,,,,,,,
Potato,images/Potato.png,pyimage166,False,Ship 1,8,1,,,,,,,,,
Garlic,images/Garlic.png,pyimage167,False,Ship 1,9,1,,,,,,,,,
Kale,images/Kale.png,pyimage168,False,Ship 1,0,2,,,,,,,,,
Rhubarb,images/Rhubarb.png,pyimage169,False,Ship 1,1,2,,,,,,,,,
Melon,images/Melon.png,pyimage170,False,Ship 1,2,2,,,,,,,,,
Tomato,images/Tomato.png,pyimage171,False,Ship 1,3,2,,,,,,,,,
Morel,images/Morel.png,pyimage172,False,Ship 1,4,2,,,,,,,,,
Blueberry,images/Blueberry.png,pyimage173,False,Ship 1,5,2,,,,,,,,,
Fiddlehead Fern,images/Fiddlehead_Fern.png,pyimage174,False,Ship 1,6,2,,,,,,,,,
Hot Pepper,images/Hot_Pepper.png,pyimage175,False,Ship 1,7,2,,,,,,,,,
Wheat,images/Wheat.png,pyimage176,False,Ship 1,8,2,,,,,,,,,
Radish,images/Radish.png,pyimage177,False,Ship 1,9,2,,,,,,,,,
Red Cabbage,images/Red_Cabbage.png,pyimage178,False,Ship 1,0,3,,,,,,,,,
Starfruit,images/Starfruit.png,pyimage179,False,Ship 1,1,3,,,,,,,,,
Corn,images/Corn.png,pyimage180,False,Ship 1,2,3,,,,,,,,,
